
# country	url	continent
albania	https://download.geofabrik.de/europe/albania-latest.osm.pbf	europe
andorra	https://download.geofabrik.de/europe/andorra-latest.osm.pbf	europe
austria	https://download.geofabrik.de/europe/austria-latest.osm.pbf	europe
azores	https://download.geofabrik.de/europe/azores-latest.osm.pbf	europe
belarus	https://download.geofabrik.de/europe/belarus-latest.osm.pbf	europe
belgium	https://download.geofabrik.de/europe/belgium-latest.osm.pbf	europe
bosnia-herzegovina	https://download.geofabrik.de/europe/bosnia-herzegovina-latest.osm.pbf	europe
bulgaria	https://download.geofabrik.de/europe/bulgaria-latest.osm.pbf	europe
croatia	https://download.geofabrik.de/europe/croatia-latest.osm.pbf	europe
cyprus	https://download.geofabrik.de/europe/cyprus-latest.osm.pbf	europe
czechia	https://download.geofabrik.de/europe/czech-republic-latest.osm.pbf	europe
denmark	https://download.geofabrik.de/europe/denmark-latest.osm.pbf	europe
estonia	https://download.geofabrik.de/europe/estonia-latest.osm.pbf	europe
faroe islands	https://download.geofabrik.de/europe/faroe-islands-latest.osm.pbf	europe
finland	https://download.geofabrik.de/europe/finland-latest.osm.pbf	europe
france	https://download.geofabrik.de/europe/france-latest.osm.pbf	europe
georgia	https://download.geofabrik.de/europe/georgia-latest.osm.pbf	europe
germany	https://download.geofabrik.de/europe/germany-latest.osm.pbf	europe
great britain	https://download.geofabrik.de/europe/great-britain-latest.osm.pbf	europe
greece	https://download.geofabrik.de/europe/greece-latest.osm.pbf	europe
guernsey and jersey	https://download.geofabrik.de/europe/guernsey-jersey-latest.osm.pbf	europe
hungary	https://download.geofabrik.de/europe/hungary-latest.osm.pbf	europe
iceland	https://download.geofabrik.de/europe/iceland-latest.osm.pbf	europe
ireland and northern ireland	https://download.geofabrik.de/europe/ireland-and-northern-ireland-latest.osm.pbf	europe
isle of man	https://download.geofabrik.de/europe/isle-of-man-latest.osm.pbf	europe
italy	https://download.geofabrik.de/europe/italy-latest.osm.pbf	europe
kosovo	https://download.geofabrik.de/europe/kosovo-latest.osm.pbf	europe
latvia	https://download.geofabrik.de/europe/latvia-latest.osm.pbf	europe
liechtenstein	https://download.geofabrik.de/europe/liechtenstein-latest.osm.pbf	europe
lithuania	https://download.geofabrik.de/europe/lithuania-latest.osm.pbf	europe
luxembourg	https://download.geofabrik.de/europe/luxembourg-latest.osm.pbf	europe
macedonia	https://download.geofabrik.de/europe/macedonia-latest.osm.pbf	europe
malta	https://download.geofabrik.de/europe/malta-latest.osm.pbf	europe
moldova	https://download.geofabrik.de/europe/moldova-latest.osm.pbf	europe
monaco	https://download.geofabrik.de/europe/monaco-latest.osm.pbf	europe
montenegro	https://download.geofabrik.de/europe/montenegro-latest.osm.pbf	europe
netherlands	https://download.geofabrik.de/europe/netherlands-latest.osm.pbf	europe
norway	https://download.geofabrik.de/europe/norway-latest.osm.pbf	europe
poland	https://download.geofabrik.de/europe/poland-latest.osm.pbf	europe
portugal	https://download.geofabrik.de/europe/portugal-latest.osm.pbf	europe
romania	https://download.geofabrik.de/europe/romania-latest.osm.pbf	europe
russia	https://download.geofabrik.de/europe/russia-latest.osm.pbf	europe
serbia	https://download.geofabrik.de/europe/serbia-latest.osm.pbf	europe
slovakia	https://download.geofabrik.de/europe/slovakia-latest.osm.pbf	europe
slovenia	https://download.geofabrik.de/europe/slovenia-latest.osm.pbf	europe
spain	https://download.geofabrik.de/europe/spain-latest.osm.pbf	europe
sweden	https://download.geofabrik.de/europe/sweden-latest.osm.pbf	europe
switzerland	https://download.geofabrik.de/europe/switzerland-latest.osm.pbf	europe
turkey	https://download.geofabrik.de/europe/turkey-latest.osm.pbf	europe
ukraine (with crimea)	https://download.geofabrik.de/europe/ukraine-latest.osm.pbf	europe
united kingdom	https://download.geofabrik.de/europe/united-kingdom-latest.osm.pbf	europe
algeria	https://download.geofabrik.de/africa/algeria-latest.osm.pbf	africa
angola	https://download.geofabrik.de/africa/angola-latest.osm.pbf	africa
benin	https://download.geofabrik.de/africa/benin-latest.osm.pbf	africa
botswana	https://download.geofabrik.de/africa/botswana-latest.osm.pbf	africa
burkina-faso	https://download.geofabrik.de/africa/burkina-faso-latest.osm.pbf	africa
burundi	https://download.geofabrik.de/africa/burundi-latest.osm.pbf	africa
cameroon	https://download.geofabrik.de/africa/cameroon-latest.osm.pbf	africa
canary-islands	https://download.geofabrik.de/africa/canary-islands-latest.osm.pbf	africa
cape-verde	https://download.geofabrik.de/africa/cape-verde-latest.osm.pbf	africa
central-african-republic	https://download.geofabrik.de/africa/central-african-republic-latest.osm.pbf	africa
chad	https://download.geofabrik.de/africa/chad-latest.osm.pbf	africa
comores	https://download.geofabrik.de/africa/comores-latest.osm.pbf	africa
congo-brazzaville	https://download.geofabrik.de/africa/congo-brazzaville-latest.osm.pbf	africa
congo-democratic-republic	https://download.geofabrik.de/africa/congo-democratic-republic-latest.osm.pbf	africa
djibouti	https://download.geofabrik.de/africa/djibouti-latest.osm.pbf	africa
egypt	https://download.geofabrik.de/africa/egypt-latest.osm.pbf	africa
equatorial-guinea	https://download.geofabrik.de/africa/equatorial-guinea-latest.osm.pbf	africa
eritrea	https://download.geofabrik.de/africa/eritrea-latest.osm.pbf	africa
ethiopia	https://download.geofabrik.de/africa/ethiopia-latest.osm.pbf	africa
gabon	https://download.geofabrik.de/africa/gabon-latest.osm.pbf	africa
ghana	https://download.geofabrik.de/africa/ghana-latest.osm.pbf	africa
guinea	https://download.geofabrik.de/africa/guinea-latest.osm.pbf	africa
guinea-bissau	https://download.geofabrik.de/africa/guinea-bissau-latest.osm.pbf	africa
ivory-coast	https://download.geofabrik.de/africa/ivory-coast-latest.osm.pbf	africa
kenya	https://download.geofabrik.de/africa/kenya-latest.osm.pbf	africa
lesotho	https://download.geofabrik.de/africa/lesotho-latest.osm.pbf	africa
liberia	https://download.geofabrik.de/africa/liberia-latest.osm.pbf	africa
libya	https://download.geofabrik.de/africa/libya-latest.osm.pbf	africa
madagascar	https://download.geofabrik.de/africa/madagascar-latest.osm.pbf	africa
malawi	https://download.geofabrik.de/africa/malawi-latest.osm.pbf	africa
mali	https://download.geofabrik.de/africa/mali-latest.osm.pbf	africa
mauritania	https://download.geofabrik.de/africa/mauritania-latest.osm.pbf	africa
mauritius	https://download.geofabrik.de/africa/mauritius-latest.osm.pbf	africa
morocco	https://download.geofabrik.de/africa/morocco-latest.osm.pbf	africa
mozambique	https://download.geofabrik.de/africa/mozambique-latest.osm.pbf	africa
namibia	https://download.geofabrik.de/africa/namibia-latest.osm.pbf	africa
niger	https://download.geofabrik.de/africa/niger-latest.osm.pbf	africa
